Town,Town Code
Andover,1
Ansonia,2
Ashford,3
Avon,4
Barkhamsted,5
Beacon Falls,6
Berlin,7
Bethany,8
Bethel,9
Bethlehem,10
Bloomfield,11
Bolton,12
Bozrah,13
Branford,14
Bridgeport,15
Bridgewater,16
Bristol,17
Brookfield,18
Brooklyn,19
Burlington,20
Canaan,21
Canterbury,22
Canton,23
Chaplin,24
Cheshire,25
Chester,26
Clinton,27
Colchester,28
Colebrook,29
Columbia,30
Cornwall,31
Coventry,32
Cromwell,33
Danbury,34
Darien,35
Deep River,36
Derby,37
Durham,38
East Granby,39
East Haddam,40
East Hampton,41
East Hartford,42
East Haven,43
East Lyme,44
East Windsor,45
Eastford,46
Easton,47
Ellington,48
Enfield,49
Essex,50
Fairfield,51
Farmington,52
Franklin,53
Glastonbury,54
Goshen,55
Granby,56
Greenwich,57
Griswold,58
Groton,59
Guilford,60
Haddam,61
Hamden,62
Hampton,63
Hartford,64
Hartland,65
Harwinton,66
Hebron,67
Kent,68
Killingly,69
Killingworth,70
Lebanon,71
Ledyard,72
Lisbon,73
Litchfield,74
Lyme,75
Madison,76
Manchester,77
Mansfield,78
Marlborough,79
Meriden,80
Middlebury,81
Middlefield,82
Middletown,83
Milford,84
Monroe,85
Montville,86
Morris,87
Naugatuck,88
New Britain,89
New Canaan,90
New Fairfield,91
New Hartford,92
New Haven,93
New London,94
New Milford,95
Newington,96
Newtown,97
Norfolk,98
North Branford,99
North Canaan,100
North Haven,101
North Stonington,102
Norwalk,103
Norwich,104
Old Lyme,105
Old Saybrook,106
Orange,107
Oxford,108
Plainfield,109
Plainville,110
Plymouth,111
Pomfret,112
Portland,113
Preston,114
Prospect,115
Putnam,116
Redding,117
Ridgefield,118
Rocky Hill,119
Roxbury,120
Salem,121
Salisbury,122
Scotland,123
Seymour,124
Sharon,125
Shelton,126
Sherman,127
Simsbury,128
Somers,129
South Windsor,130
Southbury,131
Southington,132
Sprague,133
Stafford,134
Stamford,135
Sterling,136
Stonington,137
Stratford,138
Suffield,139
Thomaston,140
Thompson,141
Tolland,142
Torrington,143
Trumbull,144
Union,145
Vernon,146
Voluntown,147
Wallingford,148
Warren,149
Washington,150
Waterbury,151
Waterford,152
Watertown,153
West Hartford,154
West Haven,155
Westbrook,156
Weston,157
Westport,158
Wethersfield,159
Willington,160
Wilton,161
Winchester,162
Windham,163
Windsor,164
Windsor Locks,165
Wolcott,166
Woodbridge,167
Woodbury,168
Woodstock,169
